Title,Published_date,Views,Likes,Comments,Channel_name
Is a Data Science Degree really necessary? 🤔,2023-03-06,35331,1414,10,Luke Barousse
Secrets of a Data Science Hiring Manager 🤫 - Pt.2,2023-03-03,8652,412,0,Luke Barousse
Secrets of a Data Science Hiring Manager 🤫,2023-03-01,15246,972,10,Luke Barousse
SQL... but for non-data nerds,2023-02-27,61550,4225,28,Luke Barousse
Popular SQL databases for data nerds,2023-02-24,23007,1786,18,Luke Barousse
What is SQL?!?,2023-02-22,85893,3866,24,Luke Barousse
How I use SQL as a data analyst,2023-02-20,245282,12509,99,Luke Barousse
"I analyzed 3,707,359 jobs to solve THIS",2023-02-17,305295,15653,1193,Luke Barousse
Hacking data for my subscribers,2023-02-16,14237,1361,27,Luke Barousse
I built an app for data nerds,2023-02-14,27719,2334,35,Luke Barousse
"How I saved $3,000 on ""The Cloud”? ☁️",2023-02-10,8496,483,13,Luke Barousse
What jobs are in Data Science? 🤓,2023-02-08,45086,2690,18,Luke Barousse
Can you automate a job search? 😳🤖,2023-02-06,21427,1098,12,Luke Barousse
Degrees. Are they overrated?!?,2023-02-03,9151,580,14,Luke Barousse
Data Job with NO degree ❌🎓🤯,2023-02-01,37066,2004,41,Luke Barousse
Rejection is never easy 😔,2023-01-30,18522,1271,28,Luke Barousse
Top Excel courses for Data Analysts 🧑‍🎓📊,2023-01-20,143221,9915,78,Luke Barousse
Data Science with NO coding 😳👨🏼‍💻,2023-01-18,32625,1662,33,Luke Barousse
Degrees vs. Experience in Data Science 📜 🆚 📊,2023-01-16,47912,2643,41,Luke Barousse
Data Analyst's first course 🧑‍💻,2023-01-13,15974,1573,24,Luke Barousse
Data Analysts are lowest paid in Data Science 💸🥵,2023-01-11,64650,3375,62,Luke Barousse
Day in the life of a Data Analyst 🤓📊,2023-01-10,216821,14450,103,Luke Barousse
Why you never stop learning in Data Science 🧠🤓,2023-01-05,15710,1027,13,Luke Barousse
How THIS got me a Data Analyst job 🤓📈,2023-01-04,36176,2478,33,Luke Barousse
If I had to start over as a Data Analyst 🤓📊,2023-01-03,23983,1980,9,Luke Barousse
How to learn to be a Data Analyst 🤓📊,2023-01-02,59574,4198,21,Luke Barousse
Python 🐍 and R 🏴‍☠️ course recommendations,2022-12-29,25691,1715,13,Luke Barousse
Working with 😰 social anxiety,2022-12-28,7630,366,11,Luke Barousse
Python 🐍 Vs. R  🏴‍☠️,2022-12-22,101837,3889,65,Luke Barousse
Top Skills of a Data Analyst 🤓📊,2022-12-20,35723,2741,49,Luke Barousse
I became a famous rapper (with ChatGPT) 🤖🎙️,2022-12-18,7975,311,18,Luke Barousse
What the HECK is a “Data Pipeline”? 👩🏻‍🔧📊🪠,2022-12-16,25525,1513,17,Luke Barousse
Should you learn Python? 🐍💻🤓,2022-12-14,54034,2972,32,Luke Barousse
Ticketmaster EXPOSED by Data Nerds 🤓  (Taylor Swift - Eras Tour),2022-12-12,11326,487,12,Luke Barousse
Data Science Jobs WITHOUT Experience 🤷🏼‍♂️❌🧑‍💻,2022-12-08,20319,1510,14,Luke Barousse
Get NOTICED in Data Science 👀🧑‍💻📊,2022-12-06,16549,1321,4,Luke Barousse
Nightmares of Microsoft Excel ☠️📊😵,2022-12-02,126471,1931,75,Luke Barousse
How I use Excel as a Data Analyst 📊🤓,2022-12-01,145405,7494,57,Luke Barousse
Non-Python Machine Learning Tools ❌🐍🤖,2022-11-30,36612,1421,32,Luke Barousse
How I use Python as a Data Analyst,2022-11-25,420939,15876,522,Luke Barousse
How to become a Data Analyst? 🤓,2022-11-25,31486,2420,24,Luke Barousse
What is Machine Learning? 🤖📚,2022-11-22,35343,2201,18,Luke Barousse
Is web scraping legal? 🫢😳,2022-11-20,635573,17596,386,Luke Barousse
Are degrees overrated? 👎🏼📜🚫,2022-10-27,51408,2754,58,Luke Barousse
THEY became Data Analysts with NO degree,2022-10-12,76770,3579,391,Luke Barousse
Tools you should know as a Data Analyst,2022-09-20,50423,1885,130,Luke Barousse
How I use Machine Learning as a Data Analyst,2022-08-30,123462,4112,183,Luke Barousse
How I use Math as a Data Analyst,2022-06-10,113230,5044,301,Luke Barousse
Data Analyst vs. Data Scientist (funny!),2022-05-24,49717,2169,264,Luke Barousse
How I use Excel as a Data Analyst,2022-05-16,457204,14539,556,Luke Barousse
PROJECTS that landed Data Jobs for my Subscribers,2022-04-13,334297,14354,348,Luke Barousse
They became Data Analysts with THIS - Google Data Analytics Certificate: One Year Later,2022-04-01,523056,16269,975,Luke Barousse
How I find projects as a Data Analyst,2022-03-07,129193,6008,206,Luke Barousse
How I learned how to learn,2022-02-25,141972,6870,368,Luke Barousse
The book every Data Analyst should read,2022-02-08,211536,10453,314,Luke Barousse
How I use SQL as a Data Analyst,2022-01-28,890633,30419,897,Luke Barousse
Why you should NOT be a Data Analyst,2022-01-14,184679,5032,465,Luke Barousse
How I Would Learn to be a Data Analyst,2022-01-05,1624243,64958,1369,Luke Barousse
Top Courses to Become a Data Analyst,2021-12-27,618629,27638,817,Luke Barousse
Mac vs PC for Data Science (SPOILER: Don't get a Mac...),2021-12-16,248370,5289,472,Luke Barousse
"M1 Chip is as FAST as M1 Max!!! 🤯  (13"" Mac Air Vs. 14"" Mac Pro) #shorts",2021-12-10,541472,19446,450,Luke Barousse
M1 Max/Pro vs M1 Macbook for Data Science.... should you?!?,2021-12-07,109451,2810,270,Luke Barousse
How I learn Data Science as a Data Analyst 🤓📚,2021-11-24,63445,3696,40,Luke Barousse
Data Scientist vs Data Engineer vs Data Analyst (funny!),2021-11-22,94349,3937,221,Luke Barousse
Building a bot to scrape job data… How NOT to collect data,2021-11-15,94813,2943,217,Luke Barousse
How to get Data Analytics side jobs - NEW LinkedIn Feature,2021-11-09,145831,8115,34,Luke Barousse
Top Jobs in Data Science,2021-11-03,159289,6131,301,Luke Barousse
The BIGGEST MISTAKE when starting a data project!,2021-09-24,45884,2216,155,Luke Barousse
Learn PYTHON to be a DATA ANALYST?!? (or is R enough...),2021-09-15,254654,10120,658,Luke Barousse
How to show EXPERIENCE... when you have NONE?!?,2021-09-01,42878,2146,129,Luke Barousse
Use THIS to showcase EXPERIENCE in Data Science,2021-08-24,24534,1433,103,Luke Barousse
Get NOTICED in Data Science!!! (3 types of GREAT projects),2021-08-17,96354,5286,175,Luke Barousse
Data Science - Expectation vs Reality (funny!) - ft. @KenJee_ds,2021-08-06,43385,1902,238,Luke Barousse
Staying Motivated in Data Science,2021-07-13,13616,708,102,Luke Barousse
Get a JOB w/ Google Data Analytics Certificate?!? (ft. Certificate Holders),2021-07-01,276328,9797,927,Luke Barousse
Transition into Data Science - My Tips & Story,2021-06-16,53843,2394,268,Luke Barousse
STOP using Spreadsheets for Everything!,2021-05-30,147087,4940,579,Luke Barousse
Standout as a Data Analyst with THIS TOOL,2021-05-08,110437,3975,216,Luke Barousse
I used Python to Count my Bike Jumps!,2021-04-28,13305,482,73,Luke Barousse
THIS got me my job as a Data Analyst - My portfolio tip,2021-04-19,268923,11120,365,Luke Barousse
Python Vs R (funny!),2021-04-11,134925,3634,409,Luke Barousse
Google vs IBM Data Analyst Certificate - BEST Certificate for Data Analysts,2021-04-01,781858,28246,1328,Luke Barousse
Certificates vs Degree for Data Analysts (ft. Google Data Analytics Professional Certificate),2021-03-25,59506,2211,215,Luke Barousse
Become a DATA ANALYST with NO degree?!? The Google Data Analytics Professional Certificate,2021-03-17,4282626,106093,3347,Luke Barousse
Data Scientist vs Data Analyst (funny!),2021-03-11,332451,8189,391,Luke Barousse
Mac Vs PC - BEST for Data Science,2021-03-04,86821,2053,246,Luke Barousse
Power BI vs Tableau - Best BI Tool,2021-02-25,427069,9727,502,Luke Barousse
Day in the life of a data analyst,2021-02-18,104200,2938,384,Luke Barousse
Data Science shortcuts for Mac,2021-02-10,4758,209,21,Luke Barousse
Install your favorite Windows app on M1 Mac - ft. Parallels,2021-02-04,69922,1536,339,Luke Barousse
Windows on the M1 Mac - What are your options?,2021-01-30,313784,5999,664,Luke Barousse
Data Analyst's WFH Setup & Upgrades,2021-01-21,56122,1203,77,Luke Barousse
Python for M1 Mac vs Intel (SPOILER: M1 is 2x faster),2021-01-14,17556,377,69,Luke Barousse
M1 Macbook Air vs Pro (8 vs 16 GB) for Data Science,2021-01-07,130283,2585,373,Luke Barousse
M1 vs Intel Mac for Business Intelligence Tools 💻📊,2021-01-03,2699,57,0,Luke Barousse
M1 vs Intel Mac for Python 🐍👨🏼‍💻,2021-01-03,2022,61,5,Luke Barousse
M1 vs Intel Mac for Excel 📈👨🏼‍💻,2021-01-02,3917,71,2,Luke Barousse
M1 vs Intel Mac for Data Science,2021-01-02,80716,1961,326,Luke Barousse
Top Non-technical Skills for Business Intelligence 📊👨🏼‍💻,2020-12-19,1992,103,5,Luke Barousse
Top 3️⃣ Technical Skills for Business Intelligence 📚📊,2020-12-19,2374,124,2,Luke Barousse
What is Business Intelligence (BI)? 📊😅,2020-12-19,2796,149,3,Luke Barousse
How NOT to learn Python for Data Science,2020-11-25,131426,4447,208,Luke Barousse
Lambda Functions for Data Science / Data Analysis - Python P.6,2020-11-19,5182,211,22,Luke Barousse
Python Functions for Data Science / Data Analysis - P.5,2020-11-14,5615,181,15,Luke Barousse
Python List Comprehension for Data Science / Data Analysis - P.4,2020-11-11,4019,149,24,Luke Barousse
Python For & While Loops for Data Science / Data Analysis - P.3,2020-11-07,8461,275,44,Luke Barousse
Python If Statements for Data Science / Data Analysis - P.2,2020-11-06,5653,181,35,Luke Barousse
Python Objects frequently used in Data Science / Data Analysis - P.1,2020-11-04,12939,485,49,Luke Barousse
Python for Data Science / Analysis  ft. 'The Office' Dataset - P.0,2020-11-04,21764,687,22,Luke Barousse
Using VS Code with Python for Data Science / Data Analysis - P.5,2020-10-27,79226,1620,85,Luke Barousse
Understanding Virtual Environments for Data Science / Data Analysis - P.4,2020-10-20,47101,1429,96,Luke Barousse
Install VS Code with Python for Data Science / Data Analysis - P.3,2020-10-15,21103,553,34,Luke Barousse
How to run Python for Data Science - Editors vs IDEs - P.2,2020-10-12,24281,610,38,Luke Barousse
Install Python for Data Science on Mac & Windows (PC) with Anaconda - P.1,2020-10-11,28147,690,25,Luke Barousse
Upload your dashboard to Tableau Public  - Tableau Tutorial P.10,2020-10-08,16217,237,26,Luke Barousse
How To Create a Dashboard - Tableau Tutorial P.9,2020-10-05,8934,233,24,Luke Barousse
"Totals, Average Lines, & Trend Lines (Analytics Pane) - Tableau Tutorial P.8",2020-10-01,10400,158,15,Luke Barousse
Parameters (Create & Use in Calculated Fields and/or Visuals) - Tableau Tutorial P.7,2020-09-24,20135,282,12,Luke Barousse
Calculated Fields in Tableau (Formulas & IF Statements) - Tableau Tutorial P.6,2020-09-22,45536,469,15,Luke Barousse
Conditional Format Tables in Tableau (Like Excel!) - Tableau Tutorial P.5,2020-09-11,14783,192,13,Luke Barousse
Create Stacked Bar Chart (and any other visuals EASILY!) w/ Show Me! - Tableau Tutorial P.4,2020-09-11,3062,100,8,Luke Barousse
Dimensions Vs Measures  (Blue Vs Green Data) - Tableau Tutorial P.3,2020-09-09,4225,166,10,Luke Barousse
How To Use Tableau Desktop Controls - Tableau Tutorial P.2,2020-09-01,6138,210,11,Luke Barousse
Connect Google Sheets to Tableau & Joining Data - Tableau Tutorial P.1,2020-08-14,33956,548,31,Luke Barousse
LIVE Q&A | SQL Bootcamp Starts 15th Jun – Last Chance to Join! 🚀,2025-06-01,5386,145,14,techTFQ
Top 3 SQL Interview Questions You Must Know (With Answers),2025-05-20,18603,649,65,techTFQ
Solving an SQL Problem during Data Analyst Interview,2024-12-16,17522,535,64,techTFQ
Solving the most complex SQL Problem on LeetCode | SQL Interview Question and Answer,2024-09-18,21780,711,44,techTFQ
SQL Case Study - Bike Rental Shop | Practice SQL Queries,2024-09-10,20638,664,42,techTFQ
Learn Basic SQL in 3.5 hrs | Complete SQL Beginner Course,2024-08-30,153009,3708,149,techTFQ
Amazon Interview | SQL Interview Problem asked during Amazon Interview,2024-06-23,43088,1330,130,techTFQ
Super Interesting SQL Problem | Practice SQL Queries,2024-06-03,26155,915,62,techTFQ
REAL SQL Interview PROBLEM by Capgemini | Solving SQL Queries,2024-05-22,97746,2981,192,techTFQ
Student Result Generator SQL Interview Query - 30 | #30DaySQLQueryChallenge,2024-03-30,14984,413,77,techTFQ
Solving an INTERMEDIATE SQL Interview Query - 29 | #30DaySQLQueryChallenge,2024-03-29,10403,289,47,techTFQ
SPLIT & JOIN - SQL Interview Problem - 28 | #30DaySQLQueryChallenge,2024-03-28,9332,223,44,techTFQ
Solving a Complex SQL Interview Problem - 27 | #30DaySQLQueryChallenge,2024-03-27,8688,267,61,techTFQ
"Lowest Token No - SQL Interview Query 26 | SQL Problem Level ""EASY""",2024-03-26,6725,233,35,techTFQ
"Data Analyst Interview Problem - SQL Interview Query 25 | SQL Problem Level ""EASY""",2024-03-25,8990,328,23,techTFQ
"REGEX in SQL to find Valid Email Ids - SQL Interview Query 24 | SQL Problem Level ""EASY""",2024-03-24,14084,403,22,techTFQ
"LEETCODE - Passenger Bus Problem - SQL Interview Query 23| SQL Problem Level ""HARD""",2024-03-23,9578,257,25,techTFQ
"IPL Winning Streak - SQL Interview Query 22 | SQL Problem Level ""HARD""",2024-03-22,9128,256,29,techTFQ
"Popular Posts - SQL Interview Query 21 | SQL Problem Level ""MEDIUM""",2024-03-21,7393,224,24,techTFQ
"Median Age - SQL Interview Query 20 | SQL Problem Level ""MEDIUM""",2024-03-20,8148,239,30,techTFQ
"FREE Pizzas - SQL Interview Query 19 | SQL Problem Level ""MEDIUM""",2024-03-19,8722,287,49,techTFQ
"Employee Attendance - SQL Interview Query 18 | SQL Problem Level ""MEDIUM""",2024-03-18,8735,326,24,techTFQ
"Consecutive User Logins - SQL Interview Query 17 | SQL Problem Level ""MEDIUM""",2024-03-17,12120,375,45,techTFQ
"COVID Cases - SQL Interview Query 16 | SQL Problem Level ""MEDIUM""",2024-03-16,8636,285,42,techTFQ
"Mutual Friends - SQL Interview Query 15 | SQL Problem Level ""HARD""",2024-03-15,10211,310,41,techTFQ
"Find Missing Data - SQL Interview Query 14 | SQL Problem Level ""MEDIUM""",2024-03-14,10496,357,59,techTFQ
"Count Employees - SQL Interview Query 13 | SQL Problem Level ""EASY""",2024-03-13,10057,340,52,techTFQ
"Split Hierarchy - SQL Interview Query 12 | SQL Problem Level ""HARD""",2024-03-12,12029,332,50,techTFQ
"Remove Outliers - SQL Interview Query 11 | SQL Problem Level ""MEDIUM""",2024-03-11,11526,381,82,techTFQ
"Auto Repair - SQL Interview Query 10 | SQL Problem Level ""HARD""",2024-03-10,12324,382,65,techTFQ
"Merge Products - SQL Interview Query 9 | SQL Problem Level ""EASY""",2024-03-09,13374,376,37,techTFQ
"Add Missing Values - SQL Interview Query 8 | SQL Problem Level ""MEDIUM""",2024-03-08,14091,428,91,techTFQ
"Find Relevant Dates - SQL Interview Query 7 | SQL Problem Level ""MEDIUM""",2024-03-07,16019,445,68,techTFQ
"Student Performance - SQL Interview Query 6 | SQL Problem Level ""EASY""",2024-03-06,16499,611,55,techTFQ
"Salary Report Generator - SQL Interview Query 5 | SQL Problem Level ""MEDIUM""",2024-03-05,21544,520,82,techTFQ
"Segregate Data - SQL Interview Query 4 | SQL Problem Level ""EASY""",2024-03-04,20041,716,67,techTFQ
"Footer Values - SQL Interview Query 3 | SQL Problem Level ""MEDIUM""",2024-03-03,26621,727,110,techTFQ
"Mountain Huts & Trails - SQL Interview Query 2 | SQL Problem Level ""HARD""",2024-03-02,41049,1256,123,techTFQ
"Remove Redundant Pairs - SQL Interview Query 1 | SQL Problem Level ""HARD""",2024-03-01,132552,4425,209,techTFQ
How to clear Job Interviews? Job Interview Tips,2024-02-11,18729,1072,7,techTFQ
Job Interview Tips | Follow these steps to clear JOB INTERVIEWS | How to clear Job Interviews?,2024-02-08,15731,896,51,techTFQ
Solving SQL Interview Problem with MULTIPLE solutions | Practice SQL Queries,2024-01-17,23823,928,75,techTFQ
SQL Project | SQL Case Study to SOLVE and PRACTICE SQL Queries | 20+ SQL Problems,2024-01-09,178067,4719,223,techTFQ
Top 10 SQL Interview Queries | Popular SQL Queries for SQL Interview,2023-11-22,408075,8745,310,techTFQ
SQL Cricket Match Problem | Solving SQL Interview Problem,2023-10-18,25052,950,96,techTFQ
Solving an SQL Interview Problem | Find Child - Parent - Grandparent Hierarchy using SQL,2023-10-04,33913,1006,74,techTFQ
From 16 years of CAREER GAP To becoming a Software Engineer | How to get a JOB after a career gap,2023-09-21,34641,807,116,techTFQ
3 SQL Queries Asked in Interview for Business Analyst - Solved,2023-09-13,75346,2427,126,techTFQ
Courses You Can Take To Get Into Data Analytics,2023-09-02,23950,516,77,techTFQ
Solving a Real SQL Interview Problem | Job Vacancies SQL Query,2023-08-25,54886,1801,151,techTFQ
SQL Data Analytics Project (PART 3) | Data Analyst Portfolio Project,2023-08-19,15896,486,48,techTFQ
SQL Data Analytics Project (PART 2) | Data Analyst Portfolio Project,2023-08-06,24712,570,62,techTFQ
SQL Data Analytics Project (PART 1) | Data Analyst Portfolio Project,2023-08-04,140267,3568,202,techTFQ
Learn SQL from me | Live SQL Training | SQL Bootcamp,2023-05-25,25493,670,183,techTFQ
Learn Python here | Learn Python Programming here,2023-05-16,17940,314,28,techTFQ
Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,55379,1458,134,techTFQ
REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,50931,1458,82,techTFQ
Complete guide to Database Normalization in SQL,2023-03-07,246009,9125,471,techTFQ
How to learn SQL for free | Roadmap to learning SQL,2022-12-28,1150865,27502,675,techTFQ
Solving an SQL Interview Problem,2022-12-18,74523,2714,26,techTFQ
Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,30256,1212,64,techTFQ
Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,510190,11108,342,techTFQ
Solving a tricky SQL Interview Query,2022-11-21,52002,1715,144,techTFQ
SQL Interview Query for Data Analyst,2022-11-14,60745,2007,81,techTFQ
Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,29948,1061,90,techTFQ
SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,537178,15450,744,techTFQ
Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,43762,1544,160,techTFQ
SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05,66680,2419,153,techTFQ
How to become a Data Analyst FASTER ?,2022-09-30,99413,4106,195,techTFQ
Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,34117,974,112,techTFQ
"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,123146,2976,224,techTFQ
Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,40998,1347,82,techTFQ
Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,134011,4462,215,techTFQ
Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,43698,1193,92,techTFQ
How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,411534,9070,348,techTFQ
Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,84368,1949,181,techTFQ
Data Analyst vs Business Analyst | What should you choose?,2022-07-26,30531,1295,109,techTFQ
Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,142605,3267,229,techTFQ
Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,40538,619,195,techTFQ
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,34727,717,55,techTFQ
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,26478,673,82,techTFQ
REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,64922,1505,127,techTFQ
Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,16396,621,44,techTFQ
Solving SQL Query | Rows to Column in SQL,2022-05-18,190429,4353,202,techTFQ
Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,345223,5925,238,techTFQ
Best Online SQL Course to practically learn and practice SQL,2022-03-30,33090,574,119,techTFQ
Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,257569,6149,347,techTFQ
Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,331402,7582,490,techTFQ
How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,148005,4965,345,techTFQ
ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,43532,875,88,techTFQ
SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,333558,6824,425,techTFQ
Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,148591,3605,191,techTFQ
Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,1258927,27430,1408,techTFQ
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,436398,13357,691,techTFQ
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,1254339,26665,1372,techTFQ
How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,342458,12671,1043,techTFQ
BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,54675,1221,138,techTFQ
REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,265707,5442,315,techTFQ
Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,930090,27796,667,techTFQ
Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,95944,2510,130,techTFQ
"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,2538,109,85,techTFQ
Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,263859,7545,381,techTFQ
Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,158868,4394,314,techTFQ
Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,82932,2714,196,techTFQ
ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,130985,2152,103,techTFQ
Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,182835,4076,191,techTFQ
SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,681265,15644,713,techTFQ
STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,14644,635,46,techTFQ
Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,1736227,37704,1188,techTFQ
"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,448055,14253,794,techTFQ
Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,91326,2266,75,techTFQ
Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,59600,1963,154,techTFQ
Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,178177,5595,416,techTFQ
Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,6260,156,64,techTFQ
Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,65069,1625,59,techTFQ
Logging Tutorial in Python | DON’T use Print for logging | How to Log messages in Python,2021-06-04,47971,1109,68,techTFQ
"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,1298221,37582,1566,techTFQ
How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,17556,551,42,techTFQ
Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,19271,537,76,techTFQ
What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,7209,217,10,techTFQ
Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,140700,4059,203,techTFQ
Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,4623,117,7,techTFQ
Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,6003,140,10,techTFQ
Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,38220,904,31,techTFQ
Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,8103,212,10,techTFQ
What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,5190,140,7,techTFQ
Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,64608,908,83,techTFQ
WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,7774,213,28,techTFQ
IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,6037,151,13,techTFQ
What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,5959,157,17,techTFQ
"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,10134,233,21,techTFQ
How to Install Python on Mac OS and How to Run Python code,2021-01-11,685415,8382,392,techTFQ
Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,37734,806,56,techTFQ
iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1351,41,24,techTFQ
SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,1396283,27769,780,techTFQ
How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,177902,1347,136,techTFQ
Learn What is Database | Types of Database | DBMS,2020-08-30,608557,9112,218,techTFQ
Do you need a Smartwatch,2020-07-12,11977,185,43,techTFQ
MacBook Pro 13 2020  One Week Later Review,2020-06-29,1619,74,20,techTFQ
MacBook Pro 13 2020 Unboxing,2020-06-22,3467,104,29,techTFQ
